team,nationality,position,potential,name
Borussia Mönchengladbach ,Germany,Defensa central,Muy bueno,Matthias Ginter
Real Betis ,Portugal,Mediocampista defensivo|Mediocampista central,Muy bueno,William Carvalho
West Ham United ,France,Delantero,Muy bueno,Sébastien Haller
Chelsea ,Germany,Defensa central,Muy bueno,Antonio Rüdiger
Bayer 04 Leverkusen ,Germany,Mediocampista lateral,Muy bueno,Karim Bellarabi
Paris Saint-Germain ,Germany,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),Muy bueno,Julian Draxler
West Ham United ,Brazil,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Muy bueno,Felipe Anderson
Tottenham Hotspur ,Brazil,Mediocampista lateral|Delantero central,Muy bueno,Lucas Moura
FC Porto ,Portugal,Mediocampista defensivo|Mediocampista central,Muy bueno,Danilo Pereira
Real Madrid ,Spain,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,Muy bueno,Nacho Fernández
Bayer 04 Leverkusen ,Germany,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Muy bueno,Kevin Volland
Villarreal CF ,Spain,Delantero,Muy bueno,Paco Alcácer
Valencia CF ,Netherlands,Portero,Muy bueno,Jasper Cillessen
FC Barcelona ,Spain,Defensa lateral|Mediocampista central,Muy bueno,Sergi Roberto
Beijing Sinobo Guoan FC ,DR Congo,Delantero,Muy bueno,Cédric Bakambu
Genoa ,Italy,Portero,Muy bueno,Mattia Perin
Real Sociedad ,Brazil,Delantero,Muy bueno,Willian José
TSG 1899 Hoffenheim ,Germany,Portero,Muy bueno,Oliver Baumann
PFC CSKA Moscow ,Russia,Lateral (lateral izquierdo)|Mediocampista lateral|Extremo (Extremo derecho),Muy bueno,Mário Fernandes
Borussia Dortmund ,Denmark,Mediocampista defensivo|Mediocampista central,Muy bueno,Thomas Delaney
FC Porto ,Mexico,Defensa lateral|Mediocampista lateral,Muy bueno,Jesús Corona
Real Madrid ,France,Portero,Muy bueno,Alphonse Areola
Real Sociedad ,Spain,Mediocampista defensivo|Mediocampista central,Muy bueno,Illarramendi
Shakhtar Donetsk ,Brazil,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Muy bueno,Taison
Roma ,Serbia,Defensa lateral (lateral derecha),Muy bueno,Aleksandar Kolarov
Sevilla FC ,Brazil,Mediocampista defensivo|Mediocampista central,Muy bueno,Fernando
Galatasaray SK ,Uruguay,Portero,Muy bueno,Fernando Muslera
